,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
569,569,429,154000,False,substation,False,transmission,0.0,127.4186,37.3221,KR,POINT (127.4186 37.3221),True
570,570,430,154000,False,substation,False,transmission,0.0,127.0772,36.9612,KR,POINT (127.0772 36.9612),True
571,571,431,154000,False,substation,False,transmission,0.0,126.6687,35.1804,KR,POINT (126.6687 35.1804),True
572,572,432,154000,False,substation,False,transmission,0.0,128.1192,36.3122,KR,POINT (128.1192 36.3122),True
573,573,433,154000,False,substation,False,transmission,0.0,126.6832,34.834,KR,POINT (126.6832 34.834),True
574,574,434,154000,False,substation,False,transmission,0.0,126.4967,34.8912,KR,POINT (126.4967 34.8912),True
575,575,435,154000,False,substation,False,transmission,0.0,126.9403,37.216,KR,POINT (126.9403 37.216),True
576,576,436,154000,False,substation,False,transmission,0.0,126.793,35.4724,KR,POINT (126.793 35.4724),True
577,577,437,154000,False,substation,False,transmission,0.0,126.6026,33.5291,KR,POINT (126.6026 33.5291),True
578,578,437,180000,True,substation,False,transmission,0.0,126.6036,33.5301,KR,POINT (126.6036 33.5301),False
579,579,438,154000,False,substation,False,transmission,0.0,126.2734,33.4012,KR,POINT (126.2734 33.4012),True
580,580,439,154000,False,substation,False,transmission,0.0,127.458,36.3048,KR,POINT (127.458 36.3048),True
581,581,440,154000,False,substation,False,transmission,0.0,127.3665,36.325,KR,POINT (127.3665 36.325),True
582,582,441,154000,False,substation,False,transmission,0.0,126.9526,35.3144,KR,POINT (126.9526 35.3144),True
583,583,442,154000,False,substation,False,transmission,0.0,126.5908,37.6884,KR,POINT (126.5908 37.6884),True
584,584,443,154000,False,substation,False,transmission,0.0,126.7648,33.3684,KR,POINT (126.7648 33.3684),True
585,585,444,154000,False,substation,False,transmission,0.0,126.1876,34.3858,KR,POINT (126.1876 34.3858),True
586,586,444,250000,True,substation,False,transmission,0.0,126.1886,34.3868,KR,POINT (126.1886 34.3868),False
587,587,445,154000,False,substation,False,transmission,0.0,129.3137,35.6722,KR,POINT (129.3137 35.6722),True
588,588,445,345000,False,substation,False,transmission,0.0,129.3147,35.6732,KR,POINT (129.3147 35.6732),False
589,589,446,345000,False,substation,False,transmission,0.0,128.734,36.8161,KR,POINT (128.734 36.8161),True
590,590,447,154000,False,substation,False,transmission,0.0,127.5011,36.2361,KR,POINT (127.5011 36.2361),True
591,591,448,345000,False,substation,False,transmission,0.0,128.3584,35.9526,KR,POINT (128.3584 35.9526),True
592,592,449,154000,False,substation,False,transmission,0.0,127.5175,35.6748,KR,POINT (127.5175 35.6748),True
593,593,450,154000,False,substation,False,transmission,0.0,127.2955,36.4242,KR,POINT (127.2955 36.4242),True
594,594,451,154000,False,substation,False,transmission,0.0,127.3429,36.6451,KR,POINT (127.3429 36.6451),True
595,595,452,154000,False,substation,False,transmission,0.0,127.3703,36.5831,KR,POINT (127.3703 36.5831),True
596,596,453,154000,False,substation,False,transmission,0.0,127.2313,36.2983,KR,POINT (127.2313 36.2983),True
597,597,454,154000,False,substation,False,transmission,0.0,129.0476,37.4837,KR,POINT (129.0476 37.4837),True
598,598,455,345000,False,substation,False,transmission,0.0,129.203,37.3637,KR,POINT (129.203 37.3637),True
599,599,456,154000,False,substation,False,transmission,0.0,128.3724,38.3571,KR,POINT (128.3724 38.3571),True
600,600,457,154000,False,substation,False,transmission,0.0,128.7455,35.4856,KR,POINT (128.7455 35.4856),True
601,601,458,345000,False,substation,False,transmission,0.0,128.4237,36.7549,KR,POINT (128.4237 36.7549),True
602,602,459,154000,False,substation,False,transmission,0.0,128.4181,37.4169,KR,POINT (128.4181 37.4169),True
603,603,460,154000,False,substation,False,transmission,0.0,127.2544,34.5782,KR,POINT (127.2544 34.5782),True
604,604,461,154000,False,substation,False,transmission,0.0,126.3165,34.7363,KR,POINT (126.3165 34.7363),True
