,id,Type,Region,tags.power,tags.generator:method,power_output_MW,tags.generator:source,tags.generator:type,tags.location,tags.generator:plant,tags.ref,other_tags,geometry,Country
4433,7740294562,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,8,NULL,POINT (128.72427400000055 37.74864349999986),KR
4434,7740294563,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,7,NULL,POINT (128.72312210000055 37.750619399999856),KR
4435,7740294564,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,6,NULL,POINT (128.72249680000056 37.75265029999986),KR
4436,7740294565,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,5,NULL,POINT (128.72171280000055 37.754897999999855),KR
4437,7740294566,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,4,NULL,POINT (128.71807840000054 37.75549489999985),KR
4438,7740294567,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,3,NULL,POINT (128.71629890000054 37.757826199999855),KR
4439,7740294568,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,2,NULL,POINT (128.71383040000055 37.75922239999986),KR
4440,7740294569,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,1,NULL,POINT (128.71206780000054 37.76086779999986),KR
4441,7740294570,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,9,NULL,POINT (128.72800840000053 37.747806599999855),KR
4442,7740294571,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,13,NULL,POINT (128.73109060000053 37.746534699999856),KR
4443,7740294572,node,KR,generator,wind_turbine,2.0,wind,horizontal_axis,NULL,NULL,14,NULL,POINT (128.73932020000052 37.74110639999986),KR
