,line_id,bus0,bus1,voltage_bus0,voltage_bus1,country,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
924,transf_242_0,365,366,154000,345000,KR,"LINESTRING (127.7403 34.9395, 127.7413 34.9405)","MULTIPOINT ((127.7403 34.9395), (127.7413 34.9405))",POINT (127.7403 34.9395),POINT (127.7413 34.9405),127.7403,34.9395,127.7413,34.9405
925,transf_244_0,368,369,154000,765000,KR,"LINESTRING (129.1743 35.321, 129.1753 35.322)","MULTIPOINT ((129.1743 35.321), (129.1753 35.322))",POINT (129.1743 35.321),POINT (129.1753 35.322),129.1743,35.321,129.1753,35.322
926,transf_254_0,379,380,154000,345000,KR,"LINESTRING (128.4852 36.0292, 128.4862 36.0302)","MULTIPOINT ((128.4852 36.0292), (128.4862 36.0302))",POINT (128.4852 36.0292),POINT (128.4862 36.0302),128.4852,36.0292,128.4862,36.0302
927,transf_258_0,384,385,154000,345000,KR,"LINESTRING (127.0932 37.0281, 127.0942 37.0291)","MULTIPOINT ((127.0932 37.0281), (127.0942 37.0291))",POINT (127.0932 37.0281),POINT (127.0942 37.0291),127.0932,37.0281,127.0942,37.0291
928,transf_279_0,406,407,154000,345000,KR,"LINESTRING (127.0815 37.8851, 127.0825 37.8861)","MULTIPOINT ((127.0815 37.8851), (127.0825 37.8861))",POINT (127.0815 37.8851),POINT (127.0825 37.8861),127.0815,37.8851,127.0825,37.8861
929,transf_288_0,416,417,154000,345000,KR,"LINESTRING (126.9559 37.9095, 126.9569 37.9105)","MULTIPOINT ((126.9559 37.9095), (126.9569 37.9105))",POINT (126.9559 37.9095),POINT (126.9569 37.9105),126.9559,37.9095,126.9569,37.9105
930,transf_302_0,431,432,154000,345000,KR,"LINESTRING (127.558 37.6876, 127.559 37.6886)","MULTIPOINT ((127.558 37.6876), (127.559 37.6886))",POINT (127.558 37.6876),POINT (127.559 37.6886),127.558,37.6876,127.559,37.6886
931,transf_302_1,432,433,345000,354000,KR,"LINESTRING (127.559 37.6886, 127.56 37.6896)","MULTIPOINT ((127.559 37.6886), (127.56 37.6896))",POINT (127.559 37.6886),POINT (127.56 37.6896),127.559,37.6886,127.56,37.6896
932,transf_308_0,439,440,154000,345000,KR,"LINESTRING (126.8604 37.0887, 126.8614 37.0897)","MULTIPOINT ((126.8604 37.0887), (126.8614 37.0897))",POINT (126.8604 37.0887),POINT (126.8614 37.0897),126.8604,37.0887,126.8614,37.0897
933,transf_340_0,472,473,154000,345000,KR,"LINESTRING (129.2806 35.7158, 129.2816 35.7168)","MULTIPOINT ((129.2806 35.7158), (129.2816 35.7168))",POINT (129.2806 35.7158),POINT (129.2816 35.7168),129.2806,35.7158,129.2816,35.7168
934,transf_340_1,473,474,345000,354000,KR,"LINESTRING (129.2816 35.7168, 129.2826 35.7178)","MULTIPOINT ((129.2816 35.7168), (129.2826 35.7178))",POINT (129.2816 35.7168),POINT (129.2826 35.7178),129.2816,35.7168,129.2826,35.7178
935,transf_342_0,476,477,154000,345000,KR,"LINESTRING (128.5443 36.5952, 128.5453 36.5962)","MULTIPOINT ((128.5443 36.5952), (128.5453 36.5962))",POINT (128.5443 36.5952),POINT (128.5453 36.5962),128.5443,36.5952,128.5453,36.5962
936,transf_368_0,503,504,154000,345000,KR,"LINESTRING (129.3352 37.1871, 129.3362 37.1881)","MULTIPOINT ((129.3352 37.1871), (129.3362 37.1881))",POINT (129.3352 37.1871),POINT (129.3362 37.1881),129.3352,37.1871,129.3362,37.1881
937,transf_386_0,522,523,154000,345000,KR,"LINESTRING (127.4446 36.456, 127.4456 36.457)","MULTIPOINT ((127.4446 36.456), (127.4456 36.457))",POINT (127.4446 36.456),POINT (127.4456 36.457),127.4446,36.456,127.4456,36.457
938,transf_392_0,529,530,154000,345000,KR,"LINESTRING (126.24 36.8421, 126.241 36.8431)","MULTIPOINT ((126.24 36.8421), (126.241 36.8431))",POINT (126.24 36.8421),POINT (126.241 36.8431),126.24,36.8421,126.241,36.8431
939,transf_411_0,549,550,145000,154000,KR,"LINESTRING (129.2599 35.364, 129.2609 35.365)","MULTIPOINT ((129.2599 35.364), (129.2609 35.365))",POINT (129.2599 35.364),POINT (129.2609 35.365),129.2599,35.364,129.2609,35.365
940,transf_420_0,559,560,154000,345000,KR,"LINESTRING (126.9495 37.8339, 126.9505 37.8349)","MULTIPOINT ((126.9495 37.8339), (126.9505 37.8349))",POINT (126.9495 37.8339),POINT (126.9505 37.8349),126.9495,37.8339,126.9505,37.8349
941,transf_445_0,587,588,154000,345000,KR,"LINESTRING (129.3137 35.6722, 129.3147 35.6732)","MULTIPOINT ((129.3137 35.6722), (129.3147 35.6732))",POINT (129.3137 35.6722),POINT (129.3147 35.6732),129.3137,35.6722,129.3147,35.6732
